split,TurbID,node_index,horizon,Score,MAE,RMSE,valid_target_count,reference_val_score_h10,reference_val_rank_desc,hard_turbine_threshold_val_score_h10,is_top10pct_hard_turbine,hard_group_rule
val,46,45,6,0.24366094865224355,240.2353282746125,336.21672497494046,6437,0.24543407925714755,34,0.2609385788627858,False,top_14_by_validation_H10_Score
val,46,45,10,0.24543407925714755,242.81754919599686,339.9585818584144,10720,0.24543407925714755,34,0.2609385788627858,False,top_14_by_validation_H10_Score
val,47,46,3,0.24592616810008042,243.23959917778672,345.4728081121091,3265,0.25017507092512536,29,0.2609385788627858,False,top_14_by_validation_H10_Score
val,47,46,6,0.2483832977793509,245.2788342054935,348.506039736521,6527,0.25017507092512536,29,0.2609385788627858,False,top_14_by_validation_H10_Score
val,47,46,10,0.25017507092512536,247.8467090312671,352.535121229127,10876,0.25017507092512536,29,0.2609385788627858,False,top_14_by_validation_H10_Score
val,48,47,3,0.23171410427922998,229.766627159097,320.91866377425856,3305,0.23680475645763588,45,0.2609385788627858,False,top_14_by_validation_H10_Score
val,48,47,6,0.23486128221471056,231.61113078295688,323.6972638075103,6607,0.23680475645763588,45,0.2609385788627858,False,top_14_by_validation_H10_Score
val,48,47,10,0.23680475645763588,233.77751328998866,327.0030708215418,11004,0.23680475645763588,45,0.2609385788627858,False,top_14_by_validation_H10_Score
val,49,48,3,0.2265227167597824,225.1785701764102,316.99879669977946,3939,0.23300295382418432,49,0.2609385788627858,False,top_14_by_validation_H10_Score
val,49,48,6,0.22961594299063356,226.96257133251913,319.6543123698794,7878,0.23300295382418432,49,0.2609385788627858,False,top_14_by_validation_H10_Score
val,49,48,10,0.23300295382418432,229.01595550477708,322.8309629628863,13124,0.23300295382418432,49,0.2609385788627858,False,top_14_by_validation_H10_Score
val,50,49,3,0.23965955380892703,237.84525060967957,331.46383458777075,3210,0.2442633506400425,37,0.2609385788627858,False,top_14_by_validation_H10_Score
val,50,49,6,0.24230563702285193,239.72036883575868,334.3025964696597,6417,0.2442633506400425,37,0.2609385788627858,False,top_14_by_validation_H10_Score
val,50,49,10,0.2442633506400425,242.09746151384445,337.9457877070874,10686,0.2442633506400425,37,0.2609385788627858,False,top_14_by_validation_H10_Score
val,51,50,3,0.245486973796352,242.7753639754237,345.20889431897103,3251,0.2514038341446579,25,0.2609385788627858,False,top_14_by_validation_H10_Score
val,51,50,6,0.24837104875420749,244.68601730235918,348.2027133608569,6499,0.2514038341446579,25,0.2609385788627858,False,top_14_by_validation_H10_Score
val,51,50,10,0.2514038341446579,247.08364401549557,352.14198510589796,10820,0.2514038341446579,25,0.2609385788627858,False,top_14_by_validation_H10_Score
val,52,51,3,0.23893043488011817,236.80729026832503,331.50355215823674,3190,0.24334589094021508,40,0.2609385788627858,False,top_14_by_validation_H10_Score
val,52,51,6,0.2406884693542314,238.64477406600128,334.34551528279036,6377,0.24334589094021508,40,0.2609385788627858,False,top_14_by_validation_H10_Score
val,52,51,10,0.24334589094021508,240.9815998609123,337.8370537085886,10624,0.24334589094021508,40,0.2609385788627858,False,top_14_by_validation_H10_Score
val,53,52,3,0.23019674907068077,228.17771026778948,319.6080098236234,3408,0.23420237824994644,48,0.2609385788627858,False,top_14_by_validation_H10_Score
val,53,52,6,0.23227071296868865,230.11435477197242,322.3835856463661,6813,0.23420237824994644,48,0.2609385788627858,False,top_14_by_validation_H10_Score
val,53,52,10,0.23420237824994644,232.3885407036183,325.86464364643876,11348,0.23420237824994644,48,0.2609385788627858,False,top_14_by_validation_H10_Score
val,54,53,3,0.21557423771940604,213.4140943397931,304.85323067356984,3441,0.22161066473309393,79,0.2609385788627858,False,top_14_by_validation_H10_Score
val,54,53,6,0.21857626839430694,215.1445534599804,307.4960460525582,6879,0.22161066473309393,79,0.2609385788627858,False,top_14_by_validation_H10_Score
val,54,53,10,0.22161066473309393,217.2981398931399,310.8909899198801,11451,0.22161066473309393,79,0.2609385788627858,False,top_14_by_validation_H10_Score
val,55,54,3,0.22557830316101082,224.2069236669141,326.321519145334,3113,0.22941599183956243,62,0.2609385788627858,False,top_14_by_validation_H10_Score
